"Question","Answer","Source Document"
"Can you normally take up to 25% of your pension pot as tax-free cash?","Yes","How to use the money in your pension pot (6593)"
"Is the current Lump Sum Allowance for tax-free cash £268,275?","Yes","How to use the money in your pension pot (6593)"
"At what age can you generally start taking money from a pension pot?","Age 55 (rising to 57 in 2028)","How to use the money in your pension pot (6593)"
"Might some people with pre-April 2006 contributions have a protected retirement age of 50?","Yes","How to use the money in your pension pot (6593)"
"Is tax-free cash normally limited to 25% unless there are protections or serious ill-health?","Yes","How to use the money in your pension pot (6593)"
"Is 75% of withdrawn funds (after tax-free cash) treated as taxable income?","Yes","How to use the money in your pension pot (6593)"
"Can tax on withdrawals initially be applied at emergency tax rates?","Yes","How to use the money in your pension pot (6593)"
"For small pots of £10,000 or less, is the 75% portion often taxed at the basic rate of 20%?","Yes","How to use the money in your pension pot (6593)"
"Does taking money via flexi-access drawdown or UFPLS trigger the reduced £10,000 money purchase annual allowance?","Yes","How to use the money in your pension pot (6593)"
"Is the standard annual allowance for pension contributions £60,000?","Yes","How to use the money in your pension pot (6593)"
"Can you take your whole pension pot in one go as a cash lump sum?","Yes","How to use the money in your pension pot (6593)"
"Can you buy a lifetime annuity for guaranteed income?","Yes","How to use the money in your pension pot (6593)"
"Is an annuity purchase irreversible?","Yes","How to use the money in your pension pot (6593)"
"In flexi-access drawdown, are withdrawals unlimited?","Yes","How to use the money in your pension pot (6593)"
"Does drawdown allow the remaining pot to stay invested with fluctuating value?","Yes","How to use the money in your pension pot (6593)"
"What is UFPLS?","Taking a lump sum from uncrystallised funds, with 25% tax-free and 75% taxable.","How to use the money in your pension pot (6593)"
"If you die before age 75, can death benefits often be paid tax-free (subject to conditions)?","Yes","How to use the money in your pension pot (6593)"
"If you die after age 75, are beneficiaries typically taxed on death benefits?","Yes","How to use the money in your pension pot (6593)"
"Does Quilter's Collective Retirement Account allow the administrator to choose the beneficiary based on nomination?","Yes","How to use the money in your pension pot (6593)"
"Is Pension Wise a free guidance service available at 0800 138 3944?","Yes","How to use the money in your pension pot (6593)"
"Should you speak to a financial adviser before taking money from your pension?","Yes","How to use the money in your pension pot (6593)"
"Can investments in drawdown decrease in value?","Yes","How to use the money in your pension pot (6593)"
"Is the overall Lump Sum and Death Benefit Allowance currently £1,073,100?","Yes","How to use the money in your pension pot (6593)"
"Can you phase retirement by taking money gradually?","Yes","How to use the money in your pension pot (6593)"
"Are annuity options customisable, such as level or escalating?","Yes","How to use the money in your pension pot (6593)"
"Is a tax voucher issued by Quilter for income received in a Collective Investment Account?","Yes","A guide to your tax voucher (6600)"
"Does the tax voucher cover the previous tax year from 6 April to 5 April?","Yes","A guide to your tax voucher (6600)"
"Is the tax voucher intended to help complete a self-assessment tax return?","Yes","A guide to your tax voucher (6600)"
"Can the tax voucher include details of dividends, interest, and rebates?","Yes","A guide to your tax voucher (6600)"
"Are rebates from OEIC and unit trust holdings classified as annual payments?","Yes","A guide to your tax voucher (6600)"
