"Question","Answer","Source Document"
"At what age can a person generally begin accessing money from their pension pot, and what change is scheduled for 2028?","You can generally start taking money from a pension pot any time after you turn 55, rising to 57 in 2028.","How to use the money in your pension pot (6593)"
"How long is a typical 55-year-old man expected to live according to the life expectancy guidance in the document?","A 55-year-old man typically lives to 84.","How to use the money in your pension pot (6593)"
"What is the usual maximum portion of a pension pot that can be taken as tax-free cash?","You are normally entitled to take up to 25% of your pension pot as tax-free cash.","How to use the money in your pension pot (6593)"
"What happens to the remaining 75% of any amount withdrawn from a pension pot after the tax-free portion?","The remaining 75% of any amount withdrawn is treated as taxable income and added to your other income for the tax year.","How to use the money in your pension pot (6593)"
"Can a person leave their pension pot completely untouched for as long as they wish?","With most pensions you can leave your pension pot untouched for as long as you want.","How to use the money in your pension pot (6593)"
"What irreversible action occurs once tax-free cash is paid from a pension pot?","Once tax-free cash is paid it cannot be cancelled or reversed.","How to use the money in your pension pot (6593)"
"What are the three main ways described for taking money from a pension pot?","The three main ways are: take it all in one go, take it a bit at a time, or buy a regular guaranteed income (and you can choose a combination of these options).","How to use the money in your pension pot (6593)"
"Under what serious ill-health condition can an entire pension pot be taken as a tax-free lump sum?","If you are under 75 and have less than 12 months to live, you may be able to take your entire pension pot as a tax-free lump sum.","How to use the money in your pension pot (6593)"
"What service provides free guidance (but not personalised advice) about pension options?","Pension Wise is the Government’s free guidance service that gives you information but not personalised advice on what you should do.","How to use the money in your pension pot (6593)"
"What is the current overall limit mentioned for tax-free cash across all pensions?","There is an overall limit on the amount of tax-free cash you can take.","How to use the money in your pension pot (6593)"
"Can investments held in flexi-access drawdown go down in value?","The value of investments in drawdown can go down as well as up.","How to use the money in your pension pot (6593)"
"What triggers the Money Purchase Annual Allowance (MPAA) when taking pension money?","Taking money via flexi-access drawdown or UFPLS triggers the reduced £10,000 Money Purchase Annual Allowance.","How to use the money in your pension pot (6593)"
"What is the standard annual allowance for pension contributions?","The standard annual allowance for pension contributions is £60,000.","How to use the money in your pension pot (6593)"
"For very small pension pots of £10,000 or less, how is the taxable portion often handled?","For small pots of £10,000 or less, the 75% taxable portion is often taxed at the basic rate of 20%.","How to use the money in your pension pot (6593)"
"What happens to unspent tax-free cash when the pension holder dies?","Any unspent tax-free cash becomes part of your estate.","How to use the money in your pension pot (6593)"
"Is buying a lifetime annuity described as a reversible decision?","Buying a lifetime annuity is irreversible.","How to use the money in your pension pot (6593)"
"Can a person phase their retirement by taking pension money gradually over time?","You can phase retirement by taking money gradually.","How to use the money in your pension pot (6593)"
"What is one example given of using pension money while still working part-time?","You can cut down your working hours and use pension savings to top up your income.","How to use the money in your pension pot (6593)"
"What phone number is provided for Quilter pension enquiries?","The Quilter contact number is 0808 171 2626.","How to use the money in your pension pot (6593)"
"What is the maximum state pension amount mentioned for the 2024/25 tax year?","The maximum state pension in the 2024/25 tax year is £221.20 a week.","How to use the money in your pension pot (6593)"
"Does the document recommend speaking to a financial adviser before accessing pension money?","The document strongly recommends speaking to a financial adviser before taking money from your pension.","How to use the money in your pension pot (6593)"
"What happens to capped drawdown if the cap is exceeded?","Exceeding the cap in capped drawdown converts it to flexi-access drawdown.","How to use the money in your pension pot (6593)"
"Can a person take their entire pension pot in one single cash lump sum?","You can take your whole pension pot in one go as a cash lump sum.","How to use the money in your pension pot (6593)"
"What is UFPLS described as?","UFPLS is taking a lump sum from uncrystallised funds, with 25% tax-free and 75% taxable.","How to use the money in your pension pot (6593)"
"What overall allowance covers both lump sums and death benefits?","The overall Lump Sum and Death Benefit Allowance is currently £1,073,100.","How to use the money in your pension pot (6593)"
"What is the purpose of the tax voucher sent by Quilter at the end of the tax year?","The tax voucher provides the information you need to complete a self-assessment tax return if required, covering income received during the previous tax year from 6 April to 5 April.","A guide to your tax voucher (6600)"
"In which type of account does Quilter issue a tax voucher when income has been received?","Quilter issues a tax voucher for a Collective Investment Account (and CashHub account if applicable) when income such as rebates, dividends or interest has been received.","A guide to your tax voucher (6600)"
"How are rebates from unit trusts and OEICs treated for tax purposes?","Rebates from OEIC and unit trust holdings are classified as annual payments by HMRC and are taxable as income.","A guide to your tax voucher (6600)"
"What is the typical tax treatment shown for UK Bank Interest on the tax voucher?","UK Bank Interest is often shown gross with 20% tax deducted.","A guide to your tax voucher (6600)"
"Where should UK dividend distributions from unit trusts or OEICs be reported on a self-assessment tax return?","UK dividend distributions from unit trusts or OEICs should be reported as “Other dividends” on the tax return.","A guide to your tax voucher (6600)"
"Can a customer reclaim tax already deducted if their total tax liability is zero?","If no further tax is due, you can reclaim any tax deducted at source.","A guide to your tax voucher (6600)"
"What does the tax voucher summary show for overseas income?","Overseas income details are shown with the net amount received and any overseas tax deducted.","A guide to your tax voucher (6600)"
"What phone number should be used to contact Quilter about a tax voucher?","The contact number for Quilter is 0808 171 2626.","A guide to your tax voucher (6600)"
"Are regular statements from Quilter sufficient on their own for completing a self-assessment tax return?","Regular statements from Quilter are not needed to complete a self-assessment tax return; the tax voucher provides the required information.","A guide to your tax voucher (6600)"
"How are interest distributions from unit trusts or OEICs typically shown on the tax voucher?","Interest distributions from unit trusts or OEICs are shown as gross and net amounts.","A guide to your tax voucher (6600)"
"What are accumulation units and how do they appear in statements versus the tax voucher?","With accumulation units, distributions are automatically reinvested so there is no cash transaction in statements, but income still appears on the tax voucher.","A guide to your tax voucher (6600)"
"What is equalisation in the context of unit trust or OEIC distributions?","Equalisation is the return of part of an investor’s capital representing income accumulated before the purchase date and is disregarded for income tax but deducted from the cost base for capital gains tax.","A guide to your tax voucher (6600)"
"Where should rebates (annual payments) be reported on a self-assessment tax return?","Rebates (annual payments) should be reported as “Other taxable income” on the self-assessment tax return.","A guide to your tax voucher (6600)"
"Does the tax voucher include interest from CashHub savings accounts?","Yes, the tax voucher includes interest earned on CashHub savings accounts where applicable, shown as CashHub UK Bank Interest.","A guide to your tax voucher (6600)"
"What is the HMRC reference number printed on approved tax vouchers?","The certificate has been approved by HMRC Ref BV1051.","A guide to your tax voucher (6600)"
"How often is the tax voucher issued?","The tax voucher is issued once following the end of each tax year if income has been received.","A guide to your tax voucher (6600)"
"Are trustees of flexible discretionary trusts entitled to the dividend allowance?","Trustees of flexible discretionary trusts do not receive the dividend allowance or allowances for interest.","A guide to your tax voucher (6600)"
"What may trigger a capital gains tax liability even without selling the entire holding?","Switching funds within the Collective Investment Account or selling units to pay adviser charges may trigger capital gains tax.","A guide to your tax voucher (6600)"
"What should a customer do if they need help completing their tax return using the voucher?","You should consult a financial adviser or accountant to complete your tax return using the voucher.","A guide to your tax voucher (6600)"
"Does the tax voucher cover only the Collective Investment Account or also CashHub?","The tax voucher covers income from the Collective Investment Account and, where applicable, CashHub savings accounts.","A guide to your tax voucher (6600)"
"How are overseas dividends and interest reported on the tax return from the voucher?","Overseas dividends are reported as “Foreign dividends” and overseas interest as “Foreign interest”.","A guide to your tax voucher (6600)"
"What is the address to which tax vouchers are sent?","Tax vouchers are sent to the customer’s registered address (Quilter’s head office is in Sunderland SR43 4JP).","A guide to your tax voucher (6600)"
"Is the tax voucher only sent when there is taxable income?","A tax voucher is issued if income (rebates, dividends or interest) has been received within the accounts during the tax year.","A guide to your tax voucher (6600)"
